threshold, precisionMatchings, recallMatchings, avgPrecisions, avgRecalls, d1, d2, d1d2
0.6, 0.3548387, 0.45833334, 0.48387095, 0.73655915, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/antonio_rinaldi/orig3.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/antonio_rinaldi/orig4.html, antonio_rinaldi/orig34
0.8, 0.47368422, 0.375, 0.65384614, 0.65384614, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/antonio_rinaldi/orig3.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/antonio_rinaldi/orig4.html, antonio_rinaldi/orig34
1, 0.8181818, 0.375, 0.9444444, 0.5, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/antonio_rinaldi/orig3.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/antonio_rinaldi/orig4.html, antonio_rinaldi/orig34
0, 0.16532259, 0.9111111, 0.15376343, 0.983871, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/a_sapi/orig1.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/a_sapi/orig2.html, a_sapi/orig12
0.2, 0.18981482, 0.9111111, 0.17931034, 0.98275864, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/a_sapi/orig1.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/a_sapi/orig2.html, a_sapi/orig12
0.4, 0.25503355, 0.84444445, 0.2090909, 0.9318182, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/a_sapi/orig1.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/a_sapi/orig2.html, a_sapi/orig12
0.6, 0.42696628, 0.84444445, 0.4925926, 0.875, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/a_sapi/orig1.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/a_sapi/orig2.html, a_sapi/orig12
0.8, 0.49315068, 0.8, 0.5779221, 0.84090906, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/a_sapi/orig1.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/a_sapi/orig2.html, a_sapi/orig12
1, 0.52272725, 0.51111114, 0.59090906, 0.6931818, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/a_sapi/orig1.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/a_sapi/orig2.html, a_sapi/orig12
0, 0.08695652, 1.0, 0.083333336, 1.0, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/beth_pollini/orig1.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/beth_pollini/orig2.html, beth_pollini/orig12
0.2, 0.0, 0.0, 0.4, 0.6, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/beth_pollini/orig1.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/beth_pollini/orig2.html, beth_pollini/orig12
0.4, 0.0, 0.0, 0.4, 0.6, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/beth_pollini/orig1.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/beth_pollini/orig2.html, beth_pollini/orig12
0.6, 1.0, 0.0, 1.0, 0.0, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/beth_pollini/orig1.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/beth_pollini/orig2.html, beth_pollini/orig12
0.8, 1.0, 0.0, 1.0, 0.0, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/beth_pollini/orig1.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/beth_pollini/orig2.html, beth_pollini/orig12
1, 1.0, 0.0, 1.0, 0.0, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/beth_pollini/orig1.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/beth_pollini/orig2.html, beth_pollini/orig12
0, 0.09756097, 1.0, 0.08796296, 1.0, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/beth_pollini/orig1.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/beth_pollini/orig3.html, beth_pollini/orig13
0.2, 0.2, 1.0, 0.19097222, 1.0, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/beth_pollini/orig1.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/beth_pollini/orig3.html, beth_pollini/orig13
0.4, 0.35, 0.875, 0.2792208, 0.9818182, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/beth_pollini/orig1.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/beth_pollini/orig3.html, beth_pollini/orig13
0.6, 0.54545456, 0.75, 0.47142857, 0.82857144, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/beth_pollini/orig1.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/beth_pollini/orig3.html, beth_pollini/orig13
0.8, 0.75, 0.375, 0.9375, 0.15, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/beth_pollini/orig1.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/beth_pollini/orig3.html, beth_pollini/orig13
1, 1.0, 0.125, 1.0, 0.05, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/beth_pollini/orig1.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/beth_pollini/orig3.html, beth_pollini/orig13
0, 0.13432837, 0.75, 0.21153846, 0.87179494, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/beth_pollini/orig2.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/beth_pollini/orig3.html, beth_pollini/orig23
0.2, 0.2962963, 0.6666667, 0.46969697, 0.7575758, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/beth_pollini/orig2.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/beth_pollini/orig3.html, beth_pollini/orig23
0.4, 0.5833333, 0.5833333, 0.6666667, 0.6666667, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/beth_pollini/orig2.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/beth_pollini/orig3.html, beth_pollini/orig23
0.6, 0.875, 0.5833333, 0.8888889, 0.5925926, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/beth_pollini/orig2.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/beth_pollini/orig3.html, beth_pollini/orig23
